environment,method,metric,metric_impl,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
breakOut,deepShap,AIM,ImageAIM,,3,OK,25.504387378692627,0.419980525970459,0.3391,,
breakOut,deepShap,AUM,ImageAUM,,3,OK,25.504387378692627,0.42846155166625977,0.3391,,
breakOut,deepShap,PGU,ImagePGU,,3,OK,25.504387378692627,0.9722609519958496,0.0,,
breakOut,deepShap,RIS,ImageRIS,,3,OK,25.504387378692627,25.86552119255066,0.013455892999087069,,
breakOut,deepShap,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,25.504387378692627,0.3022620677947998,,0.3116841345851128,"[1.         0.38185934 0.25890077 0.31831744 0.26027508 0.26196075
 0.26215969 0.25       0.        ]"
breakOut,deepShap,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,25.504387378692627,0.5834391117095947,,0.4135928401130544,"[1.         0.36648078 0.55223329 0.57505294 0.40059517 0.37373079
 0.29064975 0.25       0.        ]"
breakOut,deepShap,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,25.504387378692627,0.8259129524230957,,0.4135928401130544,"[1.         0.36648078 0.55223329 0.57505294 0.40059517 0.37373079
 0.29064975 0.25       0.        ]"
breakOut,gradientShap,AIM,ImageAIM,,3,OK,72.41907382011414,0.2560310363769531,0.3239,,
breakOut,gradientShap,AUM,ImageAUM,,3,OK,72.41907382011414,0.2709653377532959,0.3394,,
breakOut,gradientShap,PGU,ImagePGU,,3,OK,72.41907382011414,0.5845508575439453,0.9239886403083801,,
breakOut,gradientShap,RIS,ImageRIS,,3,OK,72.41907382011414,56.18750214576721,0.013701864815460178,,
breakOut,gradientShap,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,72.41907382011414,0.24797606468200684,,0.3436501707206916,"[1.         0.46643778 0.34753265 0.29561692 0.30917019 0.26838176
 0.28769023 0.27437184 0.        ]"
breakOut,gradientShap,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,72.41907382011414,0.4825437068939209,,0.3201690357147464,"[1.         0.33247339 0.31997835 0.28092589 0.29714525 0.31322184
 0.26760757 0.25       0.        ]"
breakOut,gradientShap,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,72.41907382011414,0.7319679260253906,,0.3201690357147464,"[1.         0.33247339 0.31997835 0.28092589 0.29714525 0.31322184
 0.26760757 0.25       0.        ]"
breakOut,integratedGradient,AIM,ImageAIM,,3,OK,263.7712969779968,0.1341991424560547,0.3342,,
breakOut,integratedGradient,AUM,ImageAUM,,3,OK,263.7712969779968,0.09617376327514648,0.3391,,
breakOut,integratedGradient,PGU,ImagePGU,,3,OK,263.7712969779968,0.2854743003845215,0.0,,
breakOut,integratedGradient,RIS,ImageRIS,,3,OK,263.7712969779968,221.97929215431213,0.012217489698474252,,
breakOut,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,263.7712969779968,0.1721820831298828,,0.31378483184642814,"[1.         0.22023985 0.27490518 0.29741633 0.42051758 0.29679903
 0.25040068 0.25       0.        ]"
breakOut,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,263.7712969779968,0.33640241622924805,,0.27160309510101954,"[1.         0.24       0.25       0.24       0.23717416 0.2256087
 0.23004189 0.25       0.        ]"
breakOut,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,263.7712969779968,0.4761793613433838,,0.27160309510101954,"[1.         0.24       0.25       0.24       0.23717416 0.2256087
 0.23004189 0.25       0.        ]"
breakOut,perturbationSaliency,AIM,ImageAIM,,3,OK,1384.1134083271027,0.09460973739624023,0.3307,,
breakOut,perturbationSaliency,AUM,ImageAUM,,3,OK,1384.1134083271027,0.09016036987304688,0.3391,,
