environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
cartPole,tabularShap,AIM,,3,OK,4.746784210205078,0.027055025100708008,0.3848,,
cartPole,tabularShap,AUM,,3,OK,4.746784210205078,0.020018815994262695,0.8032,,
cartPole,tabularShap,PGI,,3,OK,4.746784210205078,1.011204481124878,0.6067310151815415,,
cartPole,tabularShap,PGU,,3,OK,4.746784210205078,1.100985050201416,0.820143350905925,,
cartPole,tabularShap,RIS,,3,OK,4.746784210205078,0.7725088596343994,10.05485794836046,,
cartPole,tabularShap,DeletionCurve,mean,3,OK,4.746784210205078,0.0760948657989502,,0.59023,"[1.0, 1.0, 0.6662, 0.6662, 0.4338, 0.4338, 0.4338, 0.5034, 0.5034, 0.5078, 0.5078]"
cartPole,tabularShap,DeletionCurve,median,3,OK,4.746784210205078,0.15619969367980957,,0.5836500000000001,"[1.0, 1.0, 0.6624, 0.6624, 0.4294, 0.4294, 0.4294, 0.4926, 0.4926, 0.4922, 0.4922]"
cartPole,tabularShap,DeletionCurve,zero,3,OK,4.746784210205078,0.22630834579467773,,0.5918699999999999,"[1.0, 1.0, 0.659, 0.659, 0.4314, 0.4314, 0.4314, 0.5224, 0.5224, 0.5078, 0.5078]"
cartPole,perturbationSaliency,AIM,,3,OK,5.790600299835205,0.024533748626708984,0.5554,,
cartPole,perturbationSaliency,AUM,,3,OK,5.790600299835205,0.01952385902404785,0.5838,,
cartPole,perturbationSaliency,PGI,,3,OK,5.790600299835205,1.2226300239562988,0.6227511365111917,,
cartPole,perturbationSaliency,PGU,,3,OK,5.790600299835205,1.1196701526641846,0.7488125335279853,,
cartPole,perturbationSaliency,RIS,,3,OK,5.790600299835205,4.483928203582764,17.664349248548376,,
cartPole,perturbationSaliency,DeletionCurve,mean,3,OK,5.790600299835205,0.04003620147705078,,0.56399,"[0.8524, 0.8524, 0.6516, 0.6516, 0.4284, 0.4284, 0.4284, 0.5056, 0.5056, 0.5078, 0.5078]"
cartPole,perturbationSaliency,DeletionCurve,median,3,OK,5.790600299835205,0.0715796947479248,,0.5587900000000001,"[0.8524, 0.8524, 0.6508, 0.6508, 0.4258, 0.4258, 0.4258, 0.496, 0.496, 0.4922, 0.4922]"
cartPole,perturbationSaliency,DeletionCurve,zero,3,OK,5.790600299835205,0.09963631629943848,,0.56681,"[0.8524, 0.8524, 0.652, 0.652, 0.4294, 0.4294, 0.4294, 0.5178, 0.5178, 0.5078, 0.5078]"
cartPole,sarfa,AIM,,3,OK,8.243988990783691,0.022051095962524414,0.6218,,
cartPole,sarfa,AUM,,3,OK,8.243988990783691,0.016507625579833984,0.5546,,
cartPole,sarfa,PGI,,3,OK,8.243988990783691,0.9124641418457031,0.7074508088767528,,
cartPole,sarfa,PGU,,3,OK,8.243988990783691,0.7013759613037109,0.6906404634416103,,
cartPole,sarfa,RIS,,3,OK,8.243988990783691,5.429410696029663,20.593330961171798,,
cartPole,sarfa,DeletionCurve,mean,3,OK,8.243988990783691,0.025063514709472656,,0.57073,"[0.8712, 0.8712, 0.6698, 0.6698, 0.4288, 0.4288, 0.4288, 0.5064, 0.5064, 0.5078, 0.5078]"
cartPole,sarfa,DeletionCurve,median,3,OK,8.243988990783691,0.052149295806884766,,0.56545,"[0.8712, 0.8712, 0.669, 0.669, 0.4274, 0.4274, 0.4274, 0.4946, 0.4946, 0.4922, 0.4922]"
cartPole,sarfa,DeletionCurve,zero,3,OK,8.243988990783691,0.08819103240966797,,0.57203,"[0.8712, 0.8712, 0.6652, 0.6652, 0.429, 0.429, 0.429, 0.5172, 0.5172, 0.5078, 0.5078]"
cartPole,deepShap,AIM,,3,OK,23.773098945617676,0.02102065086364746,0.5272,,
cartPole,deepShap,AUM,,3,OK,23.773098945617676,0.017530441284179688,0.5272,,
cartPole,deepShap,PGI,,3,OK,23.773098945617676,0.7454640865325928,0.8101238226890564,,
cartPole,deepShap,PGU,,3,OK,23.773098945617676,0.7148826122283936,0.5075572250783443,,
cartPole,deepShap,RIS,,3,OK,23.773098945617676,15.519355535507202,12.379645082732422,,
