environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
cartPole,tabularShap,AIM,,3,OK,4.512592792510986,0.02652740478515625,0.3848,,
cartPole,tabularShap,AUM,,3,OK,4.512592792510986,0.02050304412841797,0.8032,,
cartPole,tabularShap,PGI,,3,OK,4.512592792510986,1.062448263168335,0.6288933275397867,,
cartPole,tabularShap,PGU,,3,OK,4.512592792510986,1.0125653743743896,0.8054017287701368,,
cartPole,tabularShap,RIS,,3,OK,4.512592792510986,0.6416177749633789,10.265758408235229,,
cartPole,tabularShap,DeletionCurve,mean,3,OK,4.512592792510986,0.02752065658569336,,0.3559071126991221,"[1.0, 1.0, 0.4924762809665966, 0.4924762809665966, 0.2330734766052301, 0.2330734766052301, 0.2330734766052301, 0.1874490676211687, 0.1874490676211687, 0.0, 0.0]"
cartPole,tabularShap,DeletionCurve,median,3,OK,4.512592792510986,0.05406951904296875,,0.46939866976537786,"[1.0, 1.0, 0.6921472622254242, 0.6921472622254242, 0.4208987442489015, 0.4208987442489015, 0.4208987442489015, 0.27349797022811256, 0.27349797022811256, 0.0, 0.0]"
cartPole,tabularShap,DeletionCurve,zero,3,OK,4.512592792510986,0.08010244369506836,,0.3415705971293974,"[1.0, 1.0, 0.4717187154571012, 0.4717187154571012, 0.22378414330296192, 0.22378414330296192, 0.22378414330296192, 0.15045805523544273, 0.15045805523544273, 0.0, 0.0]"
cartPole,perturbationSaliency,AIM,,3,OK,2.838475227355957,0.02200627326965332,0.5648,,
cartPole,perturbationSaliency,AUM,,3,OK,2.838475227355957,0.019029617309570312,0.577,,
cartPole,perturbationSaliency,PGI,,3,OK,2.838475227355957,0.9829909801483154,0.633805566650629,,
cartPole,perturbationSaliency,PGU,,3,OK,2.838475227355957,1.114227533340454,0.7261151009082795,,
cartPole,perturbationSaliency,RIS,,3,OK,2.838475227355957,4.357770919799805,16.92811570447325,,
cartPole,perturbationSaliency,DeletionCurve,mean,3,OK,2.838475227355957,0.024008512496948242,,0.37243032381667335,"[1.0, 1.0, 0.5248588863087408, 0.5248588863087408, 0.26040361185172206, 0.26040361185172206, 0.26040361185172206, 0.19668731499704278, 0.19668731499704278, 0.0, 0.0]"
cartPole,perturbationSaliency,DeletionCurve,median,3,OK,2.838475227355957,0.04552054405212402,,0.4526488855760686,"[1.0, 1.0, 0.6663556995245311, 0.6663556995245311, 0.3901304971854097, 0.3901304971854097, 0.3901304971854097, 0.2616929825776971, 0.2616929825776971, 0.0, 0.0]"
cartPole,perturbationSaliency,DeletionCurve,zero,3,OK,2.838475227355957,0.06602954864501953,,0.3609371553165042,"[1.0, 1.0, 0.510408755005102, 0.510408755005102, 0.2514717830817613, 0.2514717830817613, 0.2514717830817613, 0.1670693469547768, 0.1670693469547768, 0.0, 0.0]"
cartPole,sarfa,AIM,,3,OK,4.702396631240845,0.026537418365478516,0.6132,,
cartPole,sarfa,AUM,,3,OK,4.702396631240845,0.023004770278930664,0.5684,,
cartPole,sarfa,PGI,,3,OK,4.702396631240845,1.0613512992858887,0.6872405886352062,,
cartPole,sarfa,PGU,,3,OK,4.702396631240845,1.0592234134674072,0.7244777647987009,,
cartPole,sarfa,RIS,,3,OK,4.702396631240845,3.7828030586242676,28.689329952108785,,
cartPole,sarfa,DeletionCurve,mean,3,OK,4.702396631240845,0.016525983810424805,,0.3726303089305764,"[1.0, 1.0, 0.5262273860989938, 0.5262273860989938, 0.25998763094788546, 0.25998763094788546, 0.25998763094788546, 0.19694271213205986, 0.19694271213205986, 0.0, 0.0]"
cartPole,sarfa,DeletionCurve,median,3,OK,4.702396631240845,0.032538414001464844,,0.45725266528228276,"[1.0, 1.0, 0.6732958085943148, 0.6732958085943148, 0.3994095186097505, 0.3994095186097505, 0.3994095186097505, 0.2638532399024734, 0.2638532399024734, 0.0, 0.0]"
