environment,method,metric,metric_impl,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
pong,deepShap,AIM,ImageAIM,,3,OK,778.1167180538177,8.625468730926514,0.3045,,
pong,deepShap,AUM,ImageAUM,,3,OK,778.1167180538177,8.337705373764038,0.3285,,
pong,deepShap,PGU,ImagePGU,,3,OK,778.1167180538177,18.38602900505066,0.0932936742901802,,
pong,deepShap,RIS,ImageRIS,,3,OK,778.1167180538177,780.2141063213348,0.1833224095542411,,
pong,deepShap,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,778.1167180538177,5.588880300521851,,0.556781212065145,"[1.         0.74676171 0.58682321 0.56069154 0.63296267 0.4349829
 0.57923398 0.41279369 0.        ]"
pong,deepShap,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,778.1167180538177,10.69508671760559,,0.5161962517836656,"[0.99999999 0.70595461 0.58636669 0.5008897  0.64336918 0.48659737
 0.44517972 0.26121274 0.        ]"
pong,deepShap,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,778.1167180538177,15.131715059280396,,0.33858536651475674,"[1.         0.17403895 0.33597927 0.17777177 0.15984029 0.50207411
 0.4862825  0.37269604 0.        ]"
pong,gradientShap,AIM,ImageAIM,,3,OK,2263.7442321777344,4.282088756561279,0.291,,
pong,gradientShap,AUM,ImageAUM,,3,OK,2263.7442321777344,4.291637897491455,0.3145,,
pong,gradientShap,PGU,ImagePGU,,3,OK,2263.7442321777344,9.357349395751953,0.11950785666704178,,
pong,gradientShap,RIS,ImageRIS,,3,OK,2263.7442321777344,1747.0024843215942,0.311729352688455,,
pong,gradientShap,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,2263.7442321777344,4.914764404296875,,0.5436491326119215,"[1.         0.53637845 0.58198715 0.59983694 0.53905342 0.50600668
 0.56075735 0.52517307 0.        ]"
pong,gradientShap,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,2263.7442321777344,9.348517417907715,,0.46678811554182353,"[0.99999999 0.47055587 0.55323537 0.56994786 0.51544913 0.44574908
 0.44155531 0.2378123  0.        ]"
pong,gradientShap,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,2263.7442321777344,12.96752119064331,,0.5316099992481309,"[1.         0.50220361 0.52578162 0.45723711 0.50661228 0.5867985
 0.5573234  0.61692346 0.        ]"
pong,integratedGradient,AIM,ImageAIM,,3,OK,5624.177441596985,1.7371923923492432,0.188,,
pong,integratedGradient,AUM,ImageAUM,,3,OK,5624.177441596985,1.7590253353118896,0.3195,,
pong,integratedGradient,PGU,ImagePGU,,3,OK,5624.177441596985,5.048568964004517,0.07725100964307785,,
pong,integratedGradient,RIS,ImageRIS,,3,OK,5624.177441596985,4017.1492898464203,0.3111150284982716,,
pong,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,5624.177441596985,3.3442490100860596,,0.5932842375091592,"[1.         0.49889309 0.38493143 0.77710819 0.41269171 0.75035987
 0.75508113 0.66720848 0.        ]"
pong,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,5624.177441596985,6.44995641708374,,0.42218594550430094,"[0.99999999 0.30445089 0.30184311 0.67180955 0.33482543 0.68022551
 0.31160392 0.27272915 0.        ]"
pong,integratedGradient,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,5624.177441596985,9.208735466003418,,0.4550241792485724,"[1.         0.69117017 0.34074507 0.46985051 0.56374248 0.41226619
 0.44491286 0.21750614 0.        ]"
pong,perturbationSaliency,AIM,ImageAIM,,3,OK,26615.349055290222,1.8849976062774658,0.2845,,
pong,perturbationSaliency,AUM,ImageAUM,,3,OK,26615.349055290222,1.8609676361083984,0.3355,,
pong,perturbationSaliency,PGU,ImagePGU,,3,OK,26615.349055290222,4.6968207359313965,0.006374149117618799,,
pong,perturbationSaliency,RIS,ImageRIS,,3,OK,26615.349055290222,23046.044804811478,0.1987060792140097,,
pong,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,26615.349055290222,4.256317377090454,,0.6205920189603525,"[1.         0.52511351 0.58355635 0.66329328 0.67156902 0.69016312
 0.66858604 0.66245484 0.        ]"
pong,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,26615.349055290222,8.087574005126953,,0.466131866052082,"[0.99999999 0.54691983 0.5337446  0.60892028 0.55298606 0.48494257
 0.32734344 0.17419815 0.        ]"
pong,perturbationSaliency,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,26615.349055290222,11.362562417984009,,0.40532410420257786,"[1.         0.53950573 0.459397   0.38481152 0.32105671 0.30543249
 0.35051924 0.38187013 0.        ]"
pong,sarfa,AIM,ImageAIM,,3,OK,27009.06494283676,1.696484088897705,0.283,,
pong,sarfa,AUM,ImageAUM,,3,OK,27009.06494283676,1.6724660396575928,0.325,,
pong,sarfa,PGU,ImagePGU,,3,OK,27009.06494283676,4.4352147579193115,0.252072274684906,,
pong,sarfa,RIS,ImageRIS,,3,OK,27009.06494283676,23354.360588550568,0.23599672657329246,,
pong,sarfa,ImageDeletionCurve,ImageDeletionCurve,mean,3,OK,27009.06494283676,3.6504194736480713,,0.6267994729076631,"[1.         0.55991218 0.60531819 0.64805854 0.65993002 0.67988073
 0.67438333 0.6869128  0.        ]"
pong,sarfa,ImageDeletionCurve,ImageDeletionCurve,median,3,OK,27009.06494283676,7.09509801864624,,0.5020907397996905,"[0.99999999 0.53971166 0.54757426 0.56276642 0.56178671 0.55617032
 0.52284968 0.22586687 0.        ]"
pong,sarfa,ImageDeletionCurve,ImageDeletionCurve,zero,3,OK,27009.06494283676,10.024456977844238,,0.4375212882349223,"[1.         0.44656762 0.43116678 0.38821246 0.40913307 0.44774147
 0.45644952 0.42089939 0.        ]"
